sample_id,true_class,pred_class,fall_prob,true_prob,second_class,second_prob,fall_logit,true_logit,max_nonfall_logit,logit_fall_minus_true,logit_fall_minus_maxnonfall,entropy,conf_margin,is_walk_or_run
350,stand up,fall,0.4372,0.0090,walk,0.2562,1.481,-2.397,0.947,3.878,0.534,1.327,0.181,0
351,stand up,fall,0.5549,0.0397,walk,0.1718,1.626,-1.011,0.453,2.636,1.173,1.331,0.383,0
352,stand up,fall,0.6071,0.0231,walk,0.1770,1.848,-1.422,0.615,3.270,1.233,1.184,0.430,0
353,walk,fall,0.5792,0.1671,walk,0.1671,1.634,0.391,0.391,1.243,1.243,1.309,0.412,1
356,walk,fall,0.3000,0.2407,walk,0.2407,0.981,0.760,0.760,0.220,0.220,1.580,0.059,1
358,walk,fall,0.5563,0.1710,walk,0.1710,1.636,0.456,0.456,1.180,1.180,1.356,0.385,1
362,walk,fall,0.3268,0.2210,run,0.2215,1.183,0.792,0.794,0.391,0.389,1.509,0.105,1
363,walk,fall,0.5087,0.1974,walk,0.1974,1.637,0.690,0.690,0.947,0.947,1.365,0.311,1
364,walk,fall,0.5102,0.1884,walk,0.1884,1.515,0.518,0.518,0.997,0.997,1.393,0.322,1
365,walk,fall,0.8236,0.0859,walk,0.0859,3.115,0.854,0.854,2.260,2.260,0.678,0.738,1
367,walk,fall,0.6169,0.2171,walk,0.2171,2.248,1.204,1.204,1.044,1.044,1.119,0.400,1
372,walk,fall,0.4813,0.1969,run,0.2947,1.661,0.767,1.170,0.894,0.491,1.157,0.187,1
373,walk,fall,0.4776,0.1563,stand up,0.2271,1.843,0.726,1.100,1.117,0.744,1.419,0.251,1
382,walk,fall,0.3616,0.1862,pickup,0.2203,1.249,0.586,0.754,0.664,0.495,1.542,0.141,1
383,walk,fall,0.5578,0.2091,walk,0.2091,1.758,0.777,0.777,0.981,0.981,1.323,0.349,1
395,walk,fall,0.7835,0.0765,run,0.1126,2.716,0.390,0.776,2.326,1.940,0.757,0.671,1
396,walk,fall,0.5249,0.4137,walk,0.4137,2.285,2.047,2.047,0.238,0.238,0.953,0.111,1
405,walk,fall,0.4368,0.1381,stand up,0.2688,1.743,0.591,1.257,1.152,0.486,1.435,0.168,1
407,walk,fall,0.5568,0.1870,walk,0.1870,1.656,0.565,0.565,1.091,1.091,1.320,0.370,1
409,walk,fall,0.6569,0.1391,run,0.1814,2.588,1.035,1.301,1.553,1.287,0.973,0.476,1
411,walk,fall,0.7104,0.2226,walk,0.2226,2.678,1.517,1.517,1.161,1.161,0.846,0.488,1
412,walk,fall,0.4657,0.1910,walk,0.1910,1.213,0.321,0.321,0.891,0.891,1.527,0.275,1
414,walk,fall,0.3720,0.2341,run,0.3614,1.429,0.966,1.400,0.463,0.029,1.209,0.011,1
415,walk,fall,0.6829,0.1256,walk,0.1256,2.079,0.386,0.386,1.693,1.693,1.131,0.557,1
418,walk,fall,0.2556,0.2397,run,0.2522,0.686,0.621,0.672,0.064,0.013,1.632,0.003,1
420,walk,fall,0.5119,0.1754,run,0.2481,1.746,0.675,1.022,1.071,0.724,1.221,0.264,1
430,walk,fall,0.4544,0.2234,walk,0.2234,1.336,0.626,0.626,0.710,0.710,1.484,0.231,1
437,walk,fall,0.6914,0.1306,run,0.1568,2.808,1.142,1.324,1.666,1.484,0.919,0.535,1
442,walk,fall,0.4232,0.1735,run,0.3257,1.575,0.683,1.313,0.892,0.262,1.266,0.097,1
443,walk,fall,0.5103,0.1446,run,0.2847,1.771,0.509,1.187,1.261,0.584,1.187,0.226,1
445,walk,fall,0.5018,0.1456,walk,0.1456,1.540,0.302,0.302,1.237,1.237,1.504,0.356,1
450,walk,fall,0.5362,0.1736,walk,0.1736,1.482,0.355,0.355,1.128,1.128,1.408,0.363,1
451,walk,fall,0.6232,0.1333,run,0.2084,2.164,0.621,1.068,1.542,1.095,1.034,0.415,1
452,walk,fall,0.5605,0.3709,walk,0.3709,2.310,1.897,1.897,0.413,0.413,0.970,0.190,1
463,walk,fall,0.5331,0.1911,run,0.2397,1.848,0.822,1.049,1.026,0.799,1.152,0.293,1
468,walk,fall,0.2790,0.2002,walk,0.2002,0.767,0.435,0.435,0.332,0.332,1.813,0.079,1
471,walk,fall,0.5091,0.2153,run,0.2544,1.700,0.839,1.006,0.861,0.694,1.128,0.255,1
477,walk,fall,0.5283,0.1802,walk,0.1802,1.536,0.460,0.460,1.076,1.076,1.385,0.348,1
478,walk,fall,0.5929,0.1579,walk,0.1579,1.674,0.351,0.351,1.323,1.323,1.319,0.435,1
486,walk,fall,0.6465,0.1709,walk,0.1709,2.013,0.683,0.683,1.330,1.330,1.133,0.476,1
490,walk,fall,0.4709,0.2106,walk,0.2106,1.507,0.702,0.702,0.805,0.805,1.426,0.260,1
494,walk,fall,0.3087,0.1850,walk,0.1850,1.074,0.562,0.562,0.512,0.512,1.768,0.124,1
496,walk,fall,0.5999,0.1544,walk,0.1544,1.777,0.420,0.420,1.357,1.357,1.301,0.446,1
