sample_id,true_class,pred_class,fall_prob,true_prob,second_class,second_prob,fall_logit,true_logit,max_nonfall_logit,logit_fall_minus_true,logit_fall_minus_maxnonfall,entropy,conf_margin,is_walk_or_run
201,run,fall,0.3252,0.2091,run,0.2091,0.876,0.434,0.434,0.442,0.442,1.671,0.116,1
205,run,fall,0.3537,0.2147,walk,0.2645,0.849,0.350,0.558,0.499,0.290,1.560,0.089,1
213,run,fall,0.4861,0.2689,run,0.2689,1.610,1.018,1.018,0.592,0.592,1.199,0.217,1
215,run,fall,0.3709,0.1256,walk,0.1849,0.837,-0.246,0.141,1.083,0.696,1.747,0.186,1
218,run,fall,0.3345,0.1771,walk,0.2412,0.687,0.051,0.360,0.636,0.327,1.699,0.093,1
220,run,fall,0.3406,0.1440,pickup,0.2356,0.816,-0.045,0.447,0.861,0.369,1.626,0.105,1
222,run,fall,0.5389,0.2398,run,0.2398,1.737,0.927,0.927,0.810,0.810,1.136,0.299,1
223,run,fall,0.5261,0.2073,run,0.2073,1.409,0.477,0.477,0.931,0.931,1.271,0.319,1
224,run,fall,0.5229,0.2124,run,0.2124,1.408,0.507,0.507,0.901,0.901,1.269,0.311,1
231,run,fall,0.4964,0.2091,run,0.2091,1.483,0.619,0.619,0.865,0.865,1.305,0.287,1
233,run,fall,0.4710,0.2666,run,0.2666,1.219,0.650,0.650,0.569,0.569,1.291,0.204,1
234,run,fall,0.5168,0.1976,run,0.1976,1.178,0.217,0.217,0.961,0.961,1.319,0.319,1
237,run,fall,0.5526,0.2285,run,0.2285,1.638,0.754,0.754,0.883,0.883,1.159,0.324,1
238,run,fall,0.4004,0.3277,run,0.3277,1.378,1.177,1.177,0.200,0.200,1.269,0.073,1
239,run,fall,0.4995,0.2137,run,0.2137,1.298,0.448,0.448,0.849,0.849,1.332,0.286,1
244,run,fall,0.5626,0.2148,run,0.2148,1.606,0.643,0.643,0.963,0.963,1.166,0.348,1
246,run,fall,0.5502,0.1919,run,0.1919,1.369,0.315,0.315,1.053,1.053,1.276,0.358,1
248,run,fall,0.5185,0.2062,run,0.2062,1.355,0.433,0.433,0.922,0.922,1.296,0.312,1
250,run,fall,0.4595,0.1873,walk,0.1889,1.004,0.106,0.115,0.898,0.889,1.510,0.271,1
252,run,fall,0.5707,0.2024,run,0.2024,1.687,0.650,0.650,1.037,1.037,1.188,0.368,1
254,run,fall,0.5684,0.1888,run,0.1888,1.377,0.275,0.275,1.102,1.102,1.242,0.380,1
259,run,fall,0.5820,0.1854,run,0.1854,1.436,0.292,0.292,1.144,1.144,1.197,0.397,1
261,run,fall,0.3906,0.2096,walk,0.2112,0.874,0.251,0.259,0.622,0.615,1.579,0.179,1
262,run,fall,0.5679,0.2000,run,0.2000,1.576,0.532,0.532,1.044,1.044,1.187,0.368,1
263,run,fall,0.5724,0.1801,run,0.1801,1.521,0.364,0.364,1.157,1.157,1.202,0.392,1
264,run,fall,0.5648,0.1998,run,0.1998,1.664,0.625,0.625,1.039,1.039,1.214,0.365,1
265,run,fall,0.5321,0.1764,run,0.1764,1.293,0.189,0.189,1.104,1.104,1.359,0.356,1
266,run,fall,0.5081,0.2496,run,0.2496,1.534,0.823,0.823,0.711,0.711,1.211,0.259,1
271,run,fall,0.5239,0.2038,run,0.2038,1.407,0.463,0.463,0.944,0.944,1.261,0.320,1
281,run,fall,0.5648,0.1930,run,0.1930,1.391,0.317,0.317,1.074,1.074,1.213,0.372,1
299,sit down,fall,0.4224,0.0054,run,0.2786,1.213,-3.151,0.797,4.364,0.416,1.306,0.144,0
308,sit down,fall,0.2851,0.0533,lie down,0.2161,0.929,-0.747,0.652,1.676,0.277,1.786,0.069,0
321,sit down,fall,0.3235,0.0589,stand up,0.2608,1.002,-0.701,0.787,1.704,0.215,1.675,0.063,0
322,stand up,fall,0.5185,0.2012,stand up,0.2012,1.685,0.738,0.738,0.946,0.946,1.347,0.317,0
327,stand up,fall,0.4991,0.1057,walk,0.1629,1.338,-0.214,0.218,1.552,1.120,1.513,0.336,0
329,stand up,fall,0.5698,0.2059,stand up,0.2059,1.996,0.978,0.978,1.018,1.018,1.276,0.364,0
331,stand up,fall,0.3605,0.0063,run,0.3527,1.113,-2.939,1.091,4.052,0.022,1.252,0.008,0
336,stand up,fall,0.3767,0.0500,run,0.2315,0.921,-1.098,0.434,2.019,0.487,1.585,0.145,0
338,stand up,fall,0.5458,0.0348,walk,0.1785,1.432,-1.321,0.315,2.753,1.118,1.297,0.367,0
340,stand up,fall,0.5046,0.0521,walk,0.1726,1.474,-0.796,0.402,2.270,1.072,1.488,0.332,0
342,stand up,fall,0.3626,0.0129,run,0.3325,1.097,-2.237,1.011,3.334,0.087,1.384,0.030,0
343,stand up,fall,0.5426,0.0322,run,0.1859,1.382,-1.442,0.311,2.825,1.071,1.303,0.357,0
345,stand up,fall,0.4545,0.0123,run,0.2705,1.246,-2.363,0.727,3.609,0.519,1.272,0.184,0
347,stand up,fall,0.6388,0.0655,walk,0.1195,1.681,-0.596,0.005,2.277,1.676,1.210,0.519,0
349,stand up,fall,0.5258,0.1212,walk,0.1308,1.469,0.002,0.078,1.467,1.391,1.472,0.395,0
351,stand up,fall,0.4649,0.0242,run,0.2712,1.207,-1.750,0.668,2.957,0.539,1.316,0.194,0
352,stand up,fall,0.6504,0.0212,walk,0.1468,1.789,-1.634,0.301,3.423,1.488,1.077,0.504,0
353,walk,fall,0.5894,0.1389,walk,0.1389,1.585,0.139,0.139,1.446,1.446,1.286,0.451,1
358,walk,fall,0.3270,0.2155,run,0.2446,0.642,0.225,0.352,0.417,0.290,1.662,0.082,1
362,walk,fall,0.4679,0.1895,run,0.2560,1.420,0.516,0.817,0.904,0.603,1.302,0.212,1
363,walk,fall,0.3469,0.2369,run,0.2499,0.697,0.315,0.368,0.381,0.328,1.579,0.097,1
364,walk,fall,0.6186,0.1396,run,0.1664,1.697,0.209,0.384,1.489,1.313,1.155,0.452,1
367,walk,fall,0.6114,0.3269,walk,0.3269,2.140,1.514,1.514,0.626,0.626,0.899,0.284,1
373,walk,fall,0.4017,0.1121,stand up,0.1737,1.244,-0.033,0.405,1.276,0.838,1.690,0.228,1
379,walk,fall,0.3746,0.1759,walk,0.1759,1.145,0.389,0.389,0.756,0.756,1.708,0.199,1
383,walk,fall,0.5267,0.1952,walk,0.1952,1.367,0.374,0.374,0.992,0.992,1.347,0.331,1
395,walk,fall,0.8025,0.0860,walk,0.0860,2.497,0.264,0.264,2.233,2.233,0.786,0.716,1
406,walk,fall,0.2582,0.1713,lie down,0.1743,0.579,0.169,0.187,0.410,0.393,1.832,0.084,1
407,walk,fall,0.4673,0.1667,run,0.2806,1.380,0.350,0.870,1.031,0.510,1.313,0.187,1
409,walk,fall,0.7426,0.1284,walk,0.1284,2.237,0.482,0.482,1.755,1.755,0.866,0.614,1
411,walk,fall,0.7304,0.2394,walk,0.2394,2.526,1.411,1.411,1.116,1.116,0.717,0.491,1
414,walk,fall,0.5091,0.1531,run,0.2575,1.177,-0.024,0.496,1.201,0.682,1.286,0.252,1
415,walk,fall,0.5858,0.1251,walk,0.1251,1.536,-0.008,-0.008,1.544,1.544,1.356,0.461,1
420,walk,fall,0.5288,0.1688,run,0.2486,1.620,0.478,0.865,1.142,0.755,1.189,0.280,1
430,walk,fall,0.4506,0.1617,run,0.1829,1.180,0.155,0.279,1.025,0.902,1.545,0.268,1
437,walk,fall,0.7808,0.1007,walk,0.1007,2.371,0.323,0.323,2.049,2.049,0.829,0.680,1
443,walk,fall,0.6531,0.1488,run,0.1558,1.881,0.402,0.448,1.479,1.433,1.032,0.497,1
445,walk,fall,0.5743,0.1380,run,0.1893,1.614,0.188,0.503,1.426,1.110,1.244,0.385,1
450,walk,fall,0.4288,0.1802,run,0.2123,1.148,0.281,0.445,0.867,0.703,1.528,0.217,1
451,walk,fall,0.6745,0.1316,run,0.1398,1.960,0.326,0.387,1.634,1.574,1.016,0.535,1
452,walk,fall,0.5535,0.4062,walk,0.4062,2.133,1.824,1.824,0.309,0.309,0.866,0.147,1
463,walk,fall,0.6033,0.1487,run,0.1758,1.779,0.379,0.546,1.400,1.233,1.154,0.428,1
471,walk,fall,0.5306,0.1417,run,0.2332,1.205,-0.115,0.383,1.320,0.822,1.290,0.297,1
477,walk,fall,0.3796,0.1893,run,0.2775,0.792,0.096,0.478,0.696,0.313,1.530,0.102,1
478,walk,fall,0.4088,0.1898,run,0.2580,0.889,0.121,0.428,0.767,0.460,1.503,0.151,1
486,walk,fall,0.5771,0.1632,run,0.1904,1.627,0.364,0.518,1.263,1.109,1.190,0.387,1
490,walk,fall,0.3085,0.2165,run,0.2472,0.531,0.177,0.310,0.354,0.222,1.684,0.061,1
496,walk,fall,0.4432,0.1936,run,0.2071,0.962,0.134,0.201,0.828,0.761,1.510,0.236,1
498,walk,fall,0.3912,0.1015,stand up,0.1331,0.951,-0.399,-0.127,1.350,1.078,1.736,0.258,1
