kind,sample_id,true_class,n_models_hard,n_families_hard,models_hard,families_hard,mean_fall_score_all_models,max_fall_score_all_models,min_fall_score_all_models,interpretation
hard_fall,86,fall,23,9,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.140749,0.312883,0.051834,universal_hard
hard_fall,75,fall,22,9,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1b6_lowFA;ST1b6_macroF1;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.209421,0.630032,0.034934,universal_hard
hard_fall,78,fall,22,9,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_macroF1;SA1_safety;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.206203,0.654505,0.067517,universal_hard
hard_fall,104,fall,22,9,AFAC_maxscore;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.148209,0.325842,0.00728,universal_hard
hard_fall,109,fall,22,9,AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.155368,0.310187,0.054029,universal_hard
hard_fall,80,fall,21,9,AFAC_maxscore;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.167366,0.37057,0.066488,universal_hard
hard_fall,72,fall,20,9,AFAC_optBminFA;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_safety;ST1b6_lowFA;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.174498,0.381662,0.050294,universal_hard
hard_fall,91,fall,20,9,AFAC_maxscore;AFAC_optBminFA;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.182634,0.403717,0.064941,universal_hard
hard_fall,87,fall,19,9,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.188569,0.505429,0.040934,universal_hard
hard_fall,85,fall,17,8,AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_macroF1;ST1b6_safety;VD_seed42;VD_seed43;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.215687,0.353068,0.114168,mostly_hard_rescued_by_some_model
hard_fall,106,fall,16,8,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;SA1_safety;ST1_lowFA;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;VD_seed42;VD_seed43;G1_safety_s44;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.220302,0.44679,0.041613,mostly_hard_rescued_by_some_model
hard_fall,73,fall,19,7,GR1_macroF1;GR1_lowFA;GR1_safety;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.182509,0.359745,0.065385,mostly_hard_rescued_by_some_model
hard_fall,93,fall,18,7,GR1_macroF1;GR1_lowFA;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;VD_seed42;VD_seed43;G1_safety_s44;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.196761,0.36618,0.07823,mostly_hard_rescued_by_some_model
hard_fall,68,fall,17,7,GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;VD_seed42;VD_seed43;G1_safety_s44;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.192953,0.394952,0.061938,mostly_hard_rescued_by_some_model
hard_fall,74,fall,13,7,AFAC_maxscore;AFAC_optBminFA;SA1_lowFA;SA1_safety;ST1_lowFA;ST1_macroF1;ST1b6_lowFA;VD_seed42;VD_seed43;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;G1_hardneg;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.271385,0.677898,0.05247,mostly_hard_rescued_by_some_model
hard_fall,100,fall,10,7,GR1_safety;SA1_safety;ST1_safety;ST1b6_safety;VD_seed42;VD_seed43;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.265456,0.48156,0.16191,model_specific
hard_fall,105,fall,10,7,AFAC_optBminFA;SA1_lowFA;ST1_macroF1;ST1b6_lowFA;VD_seed42;VD_seed43;G1_lowFA_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;G1_hardneg;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.322989,0.792704,0.043863,model_specific
hard_fall,107,fall,8,7,GR1_safety;SA1_safety;ST1_safety;ST1b6_safety;VD_seed42;VD_seed43;G1_maxrec_s42;BLF_macroF1,BiLSTM_finetune;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.288614,0.582354,0.161813,model_specific
hard_fall,67,fall,9,6,GR1_safety;ST1_safety;ST1b6_safety;VD_seed42;VD_seed43;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;G1_hardneg;GR1_gairat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.306605,0.649068,0.173078,model_specific
hard_fall,81,fall,9,6,AFAC_optBminFA;SA1_lowFA;ST1b6_lowFA;VD_seed42;VD_seed43;G1_lowFA_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;G1_hardneg;SA1_sat;ST1b6_beta6p0;variantD,0.338482,0.731596,0.042701,model_specific
hard_fall,102,fall,9,6,GR1_safety;SA1_safety;ST1_safety;VD_seed42;VD_seed43;G1_safety_s44;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;variantD,0.269168,0.548048,0.102469,model_specific
hard_fall,98,fall,9,5,GR1_lowFA;GR1_safety;ST1_safety;ST1b6_safety;VD_seed42;VD_seed43;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;GR1_gairat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.268649,0.633387,0.124741,model_specific
hard_fall,76,fall,8,5,GR1_lowFA;ST1_safety;ST1b6_macroF1;VD_seed42;VD_seed43;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;GR1_gairat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.28199,0.441457,0.088212,model_specific
hard_fall,95,fall,8,5,GR1_safety;ST1_safety;VD_seed42;VD_seed43;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;G1_hardneg;GR1_gairat;ST1_beta3p0;variantD,0.287311,0.623474,0.136392,model_specific
hard_fall,108,fall,8,5,GR1_safety;SA1_safety;VD_seed42;VD_seed43;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;G1_hardneg;GR1_gairat;SA1_sat;variantD,0.288049,0.460876,0.178065,model_specific
hard_fall,79,fall,8,4,GR1_macroF1;GR1_lowFA;ST1_safety;VD_seed42;VD_seed43;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;GR1_gairat;ST1_beta3p0;variantD,0.264054,0.540437,0.087286,model_specific
hard_fall,82,fall,7,4,AFAC_optBminFA;VD_seed42;VD_seed43;G1_lowFA_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;G1_hardneg;variantD,0.426691,0.848543,0.031792,model_specific
hard_fall,84,fall,6,3,ST1_safety;VD_seed42;VD_seed43;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;ST1_beta3p0;variantD,0.273418,0.464761,0.095222,model_specific
hard_fall,90,fall,6,3,GR1_safety;VD_seed42;VD_seed43;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;GR1_gairat;variantD,0.307262,0.536372,0.160513,model_specific
hard_fall,83,fall,5,2,VD_seed42;VD_seed43;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;variantD,0.294414,0.488091,0.129621,model_specific
hard_fall,96,fall,5,2,VD_seed42;VD_seed43;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;variantD,0.467973,0.912317,0.065303,model_specific
hard_fall,101,fall,5,2,VD_seed42;VD_seed43;BLF_macroF1;BLF_maxrec;BLF_safety,BiLSTM_finetune;variantD,0.495688,0.860762,0.125069,model_specific
hard_fall,66,fall,4,2,VD_seed42;VD_seed43;BLF_macroF1;BLF_maxrec,BiLSTM_finetune;variantD,0.411035,0.739622,0.168807,model_specific
hard_fall,92,fall,4,2,VD_seed42;VD_seed43;BLF_macroF1;BLF_maxrec,BiLSTM_finetune;variantD,0.387774,0.761205,0.157916,model_specific
hard_nonfall,440,walk,22,9,AFAC_maxscore;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.754623,0.99924,0.12713,universal_hard
hard_nonfall,6,lie down,21,8,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0,0.367755,0.847965,0.192907,mostly_hard_rescued_by_some_model
hard_nonfall,163,run,21,8,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0,0.413968,0.944047,0.280863,mostly_hard_rescued_by_some_model
hard_nonfall,168,run,21,8,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0,0.371809,0.94569,0.200284,mostly_hard_rescued_by_some_model
hard_nonfall,169,run,21,8,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0,0.374024,0.863044,0.186649,mostly_hard_rescued_by_some_model
hard_nonfall,186,run,21,8,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0,0.403886,0.943149,0.268341,mostly_hard_rescued_by_some_model
hard_nonfall,189,run,21,8,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0,0.436048,0.962925,0.288912,mostly_hard_rescued_by_some_model
hard_nonfall,197,run,21,8,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0,0.434458,0.961689,0.285524,mostly_hard_rescued_by_some_model
hard_nonfall,209,run,21,8,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0,0.421931,0.9494,0.278699,mostly_hard_rescued_by_some_model
hard_nonfall,211,run,21,8,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0,0.438782,0.962787,0.286826,mostly_hard_rescued_by_some_model
hard_nonfall,212,run,21,8,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0,0.405437,0.944061,0.253436,mostly_hard_rescued_by_some_model
hard_nonfall,214,run,21,8,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0,0.380905,0.945561,0.192373,mostly_hard_rescued_by_some_model
