split,sample_id,true_class,model,family,representation,fall_score,predicted_class,above_operating_threshold,operating_threshold_far012,rank_among_nonfalls_desc
val,21,lie down,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.394732,lie down,True,0.289528,31
val,21,lie down,ST1b6_safety,ST1b6_beta6p0,lenet,0.829403,fall,True,0.393386,6
val,23,lie down,AFAC_maxscore,AFAC_optionB,lenet,0.284427,fall,True,0.200578,25
val,23,lie down,G1_lowFA_s42,G1_hardneg,lenet,0.266087,fall,True,0.144991,18
val,23,lie down,G1_maxrec_s42,G1_hardneg,lenet,0.348528,fall,True,0.306177,29
val,23,lie down,ST1_lowFA,ST1_beta3p0,lenet,0.168691,run,True,0.157616,43
val,23,lie down,ST1_macroF1,ST1_beta3p0,lenet,0.259501,fall,True,0.190872,35
val,23,lie down,ST1_safety,ST1_beta3p0,lenet,0.492005,fall,True,0.422517,33
val,23,lie down,ST1b6_safety,ST1b6_beta6p0,lenet,0.397038,fall,True,0.393386,50
val,25,lie down,AFAC_maxscore,AFAC_optionB,lenet,0.295235,fall,True,0.200578,21
val,25,lie down,AFAC_optBminFA,AFAC_optionB,lenet,0.249138,fall,True,0.143261,19
val,25,lie down,G1_lowFA_s42,G1_hardneg,lenet,0.194751,walk,True,0.144991,39
val,25,lie down,ST1b6_safety,ST1b6_beta6p0,lenet,0.423857,fall,True,0.393386,45
val,30,lie down,BLF_maxrec,BiLSTM_finetune,bilstm,0.3957,fall,True,0.293561,7
val,30,lie down,BLF_safety,BiLSTM_finetune,bilstm,0.389899,fall,True,0.227623,3
val,33,lie down,AFAC_maxscore,AFAC_optionB,lenet,0.431855,fall,True,0.200578,5
val,33,lie down,AFAC_optBminFA,AFAC_optionB,lenet,0.25241,fall,True,0.143261,18
val,33,lie down,D14B_seed43,D14_pauc_rank,lenet,0.352393,fall,True,0.200217,5
val,33,lie down,D14B_seed44,D14_pauc_rank,lenet,0.341175,fall,True,0.191555,5
val,33,lie down,G1_maxrec_s42,G1_hardneg,lenet,0.336976,fall,True,0.306177,39
val,33,lie down,ST1_safety,ST1_beta3p0,lenet,0.579731,fall,True,0.422517,9
val,33,lie down,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.59508,fall,True,0.289528,9
val,33,lie down,ST1b6_safety,ST1b6_beta6p0,lenet,0.735756,fall,True,0.393386,10
val,38,lie down,BLF_safety,BiLSTM_finetune,bilstm,0.266487,fall,True,0.227623,41
val,39,lie down,BLF_maxrec,BiLSTM_finetune,bilstm,0.323522,fall,True,0.293561,34
val,50,lie down,AFAC_optBminFA,AFAC_optionB,lenet,0.167457,stand up,True,0.143261,42
val,51,lie down,AFAC_maxscore,AFAC_optionB,lenet,0.29616,fall,True,0.200578,20
val,51,lie down,AFAC_optBminFA,AFAC_optionB,lenet,0.245605,fall,True,0.143261,20
val,51,lie down,D14B_seed43,D14_pauc_rank,lenet,0.260336,fall,True,0.200217,28
val,51,lie down,D14B_seed44,D14_pauc_rank,lenet,0.259866,fall,True,0.191555,25
val,51,lie down,G1_lowFA_s42,G1_hardneg,lenet,0.27568,fall,True,0.144991,16
val,51,lie down,G1_maxrec_s42,G1_hardneg,lenet,0.355331,fall,True,0.306177,20
val,51,lie down,G1_safety_s44,G1_hardneg,lenet,0.372372,fall,True,0.314376,35
val,51,lie down,GR1_macroF1,GR1_gairat,lenet,0.224091,walk,True,0.201419,45
val,51,lie down,SA1_lowFA,SA1_sat,lenet,0.149471,run,True,0.104403,38
val,51,lie down,SA1_macroF1,SA1_sat,lenet,0.354719,fall,True,0.259205,25
val,51,lie down,SA1_safety,SA1_sat,lenet,0.360137,fall,True,0.310699,31
val,51,lie down,ST1_lowFA,ST1_beta3p0,lenet,0.20873,stand up,True,0.157616,35
val,51,lie down,ST1_macroF1,ST1_beta3p0,lenet,0.317562,fall,True,0.190872,22
val,51,lie down,ST1_safety,ST1_beta3p0,lenet,0.535416,fall,True,0.422517,15
val,51,lie down,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.413312,fall,True,0.289528,27
val,51,lie down,ST1b6_safety,ST1b6_beta6p0,lenet,0.42844,fall,True,0.393386,42
val,52,lie down,AFAC_maxscore,AFAC_optionB,lenet,0.219575,fall,True,0.200578,47
val,52,lie down,AFAC_optBminFA,AFAC_optionB,lenet,0.202152,fall,True,0.143261,34
val,52,lie down,BLF_maxrec,BiLSTM_finetune,bilstm,0.301293,fall,True,0.293561,46
val,52,lie down,BLF_safety,BiLSTM_finetune,bilstm,0.268318,pickup,True,0.227623,39
val,52,lie down,D14B_seed43,D14_pauc_rank,lenet,0.279139,fall,True,0.200217,21
val,52,lie down,D14B_seed44,D14_pauc_rank,lenet,0.269071,fall,True,0.191555,23
val,52,lie down,G1_maxrec_s42,G1_hardneg,lenet,0.311923,fall,True,0.306177,46
val,52,lie down,G1_safety_s44,G1_hardneg,lenet,0.329581,fall,True,0.314376,43
val,52,lie down,GR1_lowFA,GR1_gairat,lenet,0.218804,stand up,True,0.187872,47
val,52,lie down,SA1_safety,SA1_sat,lenet,0.334769,fall,True,0.310699,42
val,54,lie down,AFAC_maxscore,AFAC_optionB,lenet,0.248525,fall,True,0.200578,37
val,54,lie down,AFAC_optBminFA,AFAC_optionB,lenet,0.244456,fall,True,0.143261,21
val,54,lie down,BLF_maxrec,BiLSTM_finetune,bilstm,0.35006,fall,True,0.293561,22
val,54,lie down,D14B_seed43,D14_pauc_rank,lenet,0.222669,fall,True,0.200217,40
val,54,lie down,D14B_seed44,D14_pauc_rank,lenet,0.208124,fall,True,0.191555,43
val,54,lie down,G1_lowFA_s42,G1_hardneg,lenet,0.221249,fall,True,0.144991,33
val,54,lie down,G1_safety_s44,G1_hardneg,lenet,0.362997,fall,True,0.314376,36
val,54,lie down,GR1_lowFA,GR1_gairat,lenet,0.208086,stand up,True,0.187872,49
val,54,lie down,GR1_macroF1,GR1_gairat,lenet,0.222819,fall,True,0.201419,46
val,54,lie down,SA1_lowFA,SA1_sat,lenet,0.249087,fall,True,0.104403,18
val,54,lie down,SA1_macroF1,SA1_sat,lenet,0.368528,fall,True,0.259205,21
val,54,lie down,SA1_safety,SA1_sat,lenet,0.347115,fall,True,0.310699,36
val,54,lie down,ST1_lowFA,ST1_beta3p0,lenet,0.217624,fall,True,0.157616,32
val,54,lie down,ST1_macroF1,ST1_beta3p0,lenet,0.248302,fall,True,0.190872,38
val,54,lie down,ST1_safety,ST1_beta3p0,lenet,0.51036,fall,True,0.422517,26
val,54,lie down,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.339133,fall,True,0.289528,45
val,54,lie down,ST1b6_safety,ST1b6_beta6p0,lenet,0.416676,fall,True,0.393386,47
val,61,lie down,G1_lowFA_s42,G1_hardneg,lenet,0.198846,lie down,True,0.144991,37
val,61,lie down,G1_maxrec_s42,G1_hardneg,lenet,0.666456,fall,True,0.306177,3
val,61,lie down,GR1_safety,GR1_gairat,lenet,0.555916,fall,True,0.36618,12
val,61,lie down,ST1_lowFA,ST1_beta3p0,lenet,0.287638,lie down,True,0.157616,18
val,61,lie down,ST1_safety,ST1_beta3p0,lenet,0.668854,fall,True,0.422517,6
val,61,lie down,ST1b6_safety,ST1b6_beta6p0,lenet,0.677297,fall,True,0.393386,16
val,65,lie down,SA1_safety,SA1_sat,lenet,0.36846,fall,True,0.310699,27
val,115,pickup,GR1_macroF1,GR1_gairat,lenet,0.295618,fall,True,0.201419,34
val,115,pickup,ST1_safety,ST1_beta3p0,lenet,0.457695,fall,True,0.422517,39
val,117,pickup,BLF_safety,BiLSTM_finetune,bilstm,0.231654,fall,True,0.227623,52
val,119,pickup,AFAC_maxscore,AFAC_optionB,lenet,0.260959,fall,True,0.200578,30
val,119,pickup,BLF_maxrec,BiLSTM_finetune,bilstm,0.327791,fall,True,0.293561,32
val,119,pickup,G1_maxrec_s42,G1_hardneg,lenet,0.309623,fall,True,0.306177,49
val,119,pickup,G1_safety_s44,G1_hardneg,lenet,0.410098,fall,True,0.314376,27
val,119,pickup,GR1_macroF1,GR1_gairat,lenet,0.311999,fall,True,0.201419,31
val,119,pickup,GR1_safety,GR1_gairat,lenet,0.381431,fall,True,0.36618,43
val,119,pickup,SA1_macroF1,SA1_sat,lenet,0.342471,fall,True,0.259205,30
val,119,pickup,SA1_safety,SA1_sat,lenet,0.342626,fall,True,0.310699,39
val,119,pickup,ST1_lowFA,ST1_beta3p0,lenet,0.224351,fall,True,0.157616,30
val,119,pickup,ST1_macroF1,ST1_beta3p0,lenet,0.288429,fall,True,0.190872,29
val,119,pickup,ST1_safety,ST1_beta3p0,lenet,0.495018,fall,True,0.422517,32
val,119,pickup,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.505861,fall,True,0.289528,13
val,119,pickup,ST1b6_safety,ST1b6_beta6p0,lenet,0.515745,fall,True,0.393386,25
val,127,pickup,BLF_macroF1,BiLSTM_finetune,bilstm,0.543669,fall,True,0.543669,1
val,127,pickup,BLF_maxrec,BiLSTM_finetune,bilstm,0.605073,fall,True,0.293561,1
val,127,pickup,BLF_safety,BiLSTM_finetune,bilstm,0.513778,fall,True,0.227623,1
val,128,pickup,AFAC_maxscore,AFAC_optionB,lenet,0.204385,run,True,0.200578,53
val,128,pickup,G1_lowFA_s42,G1_hardneg,lenet,0.288967,fall,True,0.144991,15
val,128,pickup,SA1_lowFA,SA1_sat,lenet,0.131816,run,True,0.104403,43
val,128,pickup,ST1_macroF1,ST1_beta3p0,lenet,0.200695,run,True,0.190872,50
val,128,pickup,ST1_safety,ST1_beta3p0,lenet,0.423962,fall,True,0.422517,52
val,129,pickup,SA1_safety,SA1_sat,lenet,0.313296,fall,True,0.310699,53
val,129,pickup,ST1b6_safety,ST1b6_beta6p0,lenet,0.692039,fall,True,0.393386,15
val,133,pickup,BLF_safety,BiLSTM_finetune,bilstm,0.285802,fall,True,0.227623,26
val,141,pickup,BLF_safety,BiLSTM_finetune,bilstm,0.259529,walk,True,0.227623,44
val,151,pickup,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.336585,fall,True,0.289528,46
val,153,pickup,BLF_maxrec,BiLSTM_finetune,bilstm,0.31712,fall,True,0.293561,35
val,153,pickup,ST1_safety,ST1_beta3p0,lenet,0.459937,fall,True,0.422517,38
val,160,run,AFAC_maxscore,AFAC_optionB,lenet,0.263814,fall,True,0.200578,29
val,160,run,AFAC_optBminFA,AFAC_optionB,lenet,0.214848,fall,True,0.143261,27
val,160,run,D14B_seed43,D14_pauc_rank,lenet,0.261375,run,True,0.200217,26
val,160,run,D14B_seed44,D14_pauc_rank,lenet,0.257037,run,True,0.191555,27
val,160,run,G1_lowFA_s42,G1_hardneg,lenet,0.244442,walk,True,0.144991,25
val,160,run,G1_maxrec_s42,G1_hardneg,lenet,0.337064,fall,True,0.306177,38
val,160,run,GR1_lowFA,GR1_gairat,lenet,0.247273,run,True,0.187872,37
val,160,run,GR1_macroF1,GR1_gairat,lenet,0.316775,fall,True,0.201419,30
val,160,run,GR1_safety,GR1_gairat,lenet,0.383853,fall,True,0.36618,42
val,160,run,SA1_macroF1,SA1_sat,lenet,0.349412,fall,True,0.259205,28
val,160,run,SA1_safety,SA1_sat,lenet,0.347541,fall,True,0.310699,35
val,160,run,ST1_lowFA,ST1_beta3p0,lenet,0.236664,walk,True,0.157616,25
val,160,run,ST1_macroF1,ST1_beta3p0,lenet,0.245301,walk,True,0.190872,40
val,160,run,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.310038,walk,True,0.289528,50
val,160,run,ST1b6_safety,ST1b6_beta6p0,lenet,0.428288,fall,True,0.393386,43
val,161,run,AFAC_optBminFA,AFAC_optionB,lenet,0.190618,run,True,0.143261,37
val,161,run,BLF_maxrec,BiLSTM_finetune,bilstm,0.356502,fall,True,0.293561,19
val,161,run,BLF_safety,BiLSTM_finetune,bilstm,0.305833,fall,True,0.227623,12
val,161,run,D14B_seed43,D14_pauc_rank,lenet,0.232564,run,True,0.200217,35
val,161,run,D14B_seed44,D14_pauc_rank,lenet,0.226644,run,True,0.191555,35
val,161,run,G1_maxrec_s42,G1_hardneg,lenet,0.343327,fall,True,0.306177,31
val,161,run,G1_safety_s44,G1_hardneg,lenet,0.412907,fall,True,0.314376,25
val,161,run,GR1_lowFA,GR1_gairat,lenet,0.276944,run,True,0.187872,28
val,161,run,GR1_macroF1,GR1_gairat,lenet,0.275753,fall,True,0.201419,37
val,161,run,GR1_safety,GR1_gairat,lenet,0.397739,fall,True,0.36618,36
val,161,run,SA1_lowFA,SA1_sat,lenet,0.184604,pickup,True,0.104403,28
val,161,run,SA1_macroF1,SA1_sat,lenet,0.315654,fall,True,0.259205,43
val,161,run,SA1_safety,SA1_sat,lenet,0.337021,fall,True,0.310699,40
val,161,run,ST1_lowFA,ST1_beta3p0,lenet,0.158108,pickup,True,0.157616,49
val,161,run,ST1b6_lowFA,ST1b6_beta6p0,lenet,0.161104,run,True,0.153511,45
val,161,run,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.364746,fall,True,0.289528,41
val,161,run,ST1b6_safety,ST1b6_beta6p0,lenet,0.39417,fall,True,0.393386,53
val,163,run,AFAC_maxscore,AFAC_optionB,lenet,0.33353,fall,True,0.200578,11
val,163,run,AFAC_optBminFA,AFAC_optionB,lenet,0.314625,fall,True,0.143261,6
val,163,run,BLF_maxrec,BiLSTM_finetune,bilstm,0.366804,fall,True,0.293561,12
val,163,run,BLF_safety,BiLSTM_finetune,bilstm,0.291613,fall,True,0.227623,20
val,163,run,D14B_seed43,D14_pauc_rank,lenet,0.300814,fall,True,0.200217,15
val,163,run,D14B_seed44,D14_pauc_rank,lenet,0.288905,fall,True,0.191555,15
val,163,run,G1_lowFA_s42,G1_hardneg,lenet,0.385706,fall,True,0.144991,4
val,163,run,G1_maxrec_s42,G1_hardneg,lenet,0.349608,fall,True,0.306177,27
val,163,run,G1_safety_s44,G1_hardneg,lenet,0.450348,fall,True,0.314376,17
val,163,run,GR1_lowFA,GR1_gairat,lenet,0.312651,fall,True,0.187872,21
val,163,run,GR1_macroF1,GR1_gairat,lenet,0.363806,fall,True,0.201419,22
val,163,run,GR1_safety,GR1_gairat,lenet,0.493595,fall,True,0.36618,13
val,163,run,SA1_lowFA,SA1_sat,lenet,0.280863,fall,True,0.104403,12
val,163,run,SA1_macroF1,SA1_sat,lenet,0.409922,fall,True,0.259205,14
val,163,run,SA1_safety,SA1_sat,lenet,0.429649,fall,True,0.310699,12
val,163,run,ST1_lowFA,ST1_beta3p0,lenet,0.32544,fall,True,0.157616,12
val,163,run,ST1_macroF1,ST1_beta3p0,lenet,0.34913,fall,True,0.190872,17
val,163,run,ST1_safety,ST1_beta3p0,lenet,0.526392,fall,True,0.422517,18
val,163,run,ST1b6_lowFA,ST1b6_beta6p0,lenet,0.28651,fall,True,0.153511,17
val,163,run,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.410157,fall,True,0.289528,29
val,163,run,ST1b6_safety,ST1b6_beta6p0,lenet,0.520844,fall,True,0.393386,24
val,168,run,AFAC_maxscore,AFAC_optionB,lenet,0.240562,fall,True,0.200578,38
val,168,run,AFAC_optBminFA,AFAC_optionB,lenet,0.200284,run,True,0.143261,36
val,168,run,BLF_maxrec,BiLSTM_finetune,bilstm,0.334598,fall,True,0.293561,27
val,168,run,BLF_safety,BiLSTM_finetune,bilstm,0.296657,walk,True,0.227623,17
val,168,run,D14B_seed43,D14_pauc_rank,lenet,0.229174,run,True,0.200217,36
val,168,run,D14B_seed44,D14_pauc_rank,lenet,0.225961,run,True,0.191555,36
val,168,run,G1_lowFA_s42,G1_hardneg,lenet,0.234294,run,True,0.144991,28
val,168,run,G1_maxrec_s42,G1_hardneg,lenet,0.337533,fall,True,0.306177,37
val,168,run,G1_safety_s44,G1_hardneg,lenet,0.344353,fall,True,0.314376,41
val,168,run,GR1_lowFA,GR1_gairat,lenet,0.26703,walk,True,0.187872,31
val,168,run,GR1_macroF1,GR1_gairat,lenet,0.356913,fall,True,0.201419,24
val,168,run,GR1_safety,GR1_gairat,lenet,0.398573,fall,True,0.36618,34
val,168,run,SA1_lowFA,SA1_sat,lenet,0.254635,fall,True,0.104403,16
val,168,run,SA1_macroF1,SA1_sat,lenet,0.400639,fall,True,0.259205,17
val,168,run,SA1_safety,SA1_sat,lenet,0.379351,fall,True,0.310699,20
val,168,run,ST1_lowFA,ST1_beta3p0,lenet,0.289932,fall,True,0.157616,16
val,168,run,ST1_macroF1,ST1_beta3p0,lenet,0.373576,fall,True,0.190872,14
val,168,run,ST1_safety,ST1_beta3p0,lenet,0.432438,fall,True,0.422517,49
val,168,run,ST1b6_lowFA,ST1b6_beta6p0,lenet,0.286953,fall,True,0.153511,16
val,168,run,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.422033,fall,True,0.289528,26
val,168,run,ST1b6_safety,ST1b6_beta6p0,lenet,0.441269,fall,True,0.393386,39
val,169,run,AFAC_maxscore,AFAC_optionB,lenet,0.30096,fall,True,0.200578,18
val,169,run,AFAC_optBminFA,AFAC_optionB,lenet,0.266856,fall,True,0.143261,13
val,169,run,BLF_maxrec,BiLSTM_finetune,bilstm,0.377651,fall,True,0.293561,9
val,169,run,BLF_safety,BiLSTM_finetune,bilstm,0.300739,fall,True,0.227623,16
val,169,run,D14B_seed43,D14_pauc_rank,lenet,0.280683,fall,True,0.200217,20
val,169,run,D14B_seed44,D14_pauc_rank,lenet,0.280742,fall,True,0.191555,19
val,169,run,G1_lowFA_s42,G1_hardneg,lenet,0.237965,walk,True,0.144991,27
val,169,run,G1_maxrec_s42,G1_hardneg,lenet,0.323994,fall,True,0.306177,42
val,169,run,G1_safety_s44,G1_hardneg,lenet,0.399609,fall,True,0.314376,30
val,169,run,GR1_lowFA,GR1_gairat,lenet,0.30197,fall,True,0.187872,24
val,169,run,GR1_macroF1,GR1_gairat,lenet,0.318562,fall,True,0.201419,28
val,169,run,GR1_safety,GR1_gairat,lenet,0.453961,fall,True,0.36618,22
val,169,run,SA1_lowFA,SA1_sat,lenet,0.186649,walk,True,0.104403,27
val,169,run,SA1_macroF1,SA1_sat,lenet,0.326128,fall,True,0.259205,36
val,169,run,SA1_safety,SA1_sat,lenet,0.369139,fall,True,0.310699,26
val,169,run,ST1_lowFA,ST1_beta3p0,lenet,0.293877,fall,True,0.157616,15
val,169,run,ST1_macroF1,ST1_beta3p0,lenet,0.336677,fall,True,0.190872,19
val,169,run,ST1_safety,ST1_beta3p0,lenet,0.502435,fall,True,0.422517,28
val,169,run,ST1b6_lowFA,ST1b6_beta6p0,lenet,0.280994,fall,True,0.153511,18
val,169,run,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.374868,fall,True,0.289528,37
val,169,run,ST1b6_safety,ST1b6_beta6p0,lenet,0.469618,fall,True,0.393386,32
val,174,run,AFAC_maxscore,AFAC_optionB,lenet,0.249664,fall,True,0.200578,36
val,174,run,AFAC_optBminFA,AFAC_optionB,lenet,0.218562,run,True,0.143261,26
val,174,run,BLF_maxrec,BiLSTM_finetune,bilstm,0.374561,fall,True,0.293561,11
val,174,run,BLF_safety,BiLSTM_finetune,bilstm,0.302638,fall,True,0.227623,15
val,174,run,D14B_seed43,D14_pauc_rank,lenet,0.263961,run,True,0.200217,25
val,174,run,D14B_seed44,D14_pauc_rank,lenet,0.258256,run,True,0.191555,26
val,174,run,G1_lowFA_s42,G1_hardneg,lenet,0.232256,run,True,0.144991,30
val,174,run,G1_safety_s44,G1_hardneg,lenet,0.334968,fall,True,0.314376,42
val,174,run,GR1_lowFA,GR1_gairat,lenet,0.248167,run,True,0.187872,36
val,174,run,GR1_macroF1,GR1_gairat,lenet,0.258875,run,True,0.201419,38
val,174,run,GR1_safety,GR1_gairat,lenet,0.388725,fall,True,0.36618,39
val,174,run,SA1_lowFA,SA1_sat,lenet,0.141813,run,True,0.104403,40
val,174,run,SA1_macroF1,SA1_sat,lenet,0.286183,run,True,0.259205,47
val,174,run,SA1_safety,SA1_sat,lenet,0.315892,fall,True,0.310699,50
val,174,run,ST1_lowFA,ST1_beta3p0,lenet,0.195994,run,True,0.157616,37
val,174,run,ST1_macroF1,ST1_beta3p0,lenet,0.243152,run,True,0.190872,41
val,174,run,ST1b6_lowFA,ST1b6_beta6p0,lenet,0.237942,run,True,0.153511,30
val,174,run,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.305812,run,True,0.289528,52
val,175,run,AFAC_maxscore,AFAC_optionB,lenet,0.223248,run,True,0.200578,46
val,175,run,AFAC_optBminFA,AFAC_optionB,lenet,0.221378,fall,True,0.143261,24
val,175,run,D14B_seed43,D14_pauc_rank,lenet,0.226914,run,True,0.200217,39
val,175,run,D14B_seed44,D14_pauc_rank,lenet,0.238044,run,True,0.191555,31
val,175,run,G1_safety_s44,G1_hardneg,lenet,0.806878,fall,True,0.314376,3
val,175,run,GR1_lowFA,GR1_gairat,lenet,0.282914,run,True,0.187872,27
val,175,run,GR1_macroF1,GR1_gairat,lenet,0.715258,fall,True,0.201419,2
val,175,run,GR1_safety,GR1_gairat,lenet,0.669958,fall,True,0.36618,6
val,175,run,SA1_lowFA,SA1_sat,lenet,0.456762,fall,True,0.104403,2
val,175,run,SA1_macroF1,SA1_sat,lenet,0.46878,fall,True,0.259205,9
